group,replicate,barcode,input_file,fasta,gtf
E0,1,,/data/250828-E/E0_a_E1_a_E2_a/20250828_1424_3A_PBC49451_bbfe8f78/bam_pass/aln_bam/barcode01_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E1,1,,/data/250828-E/E0_a_E1_a_E2_a/20250828_1424_3A_PBC49451_bbfe8f78/bam_pass/aln_bam/barcode02_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E2,1,,/data/250828-E/E0_a_E1_a_E2_a/20250828_1424_3A_PBC49451_bbfe8f78/bam_pass/aln_bam/barcode03_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E0,2,,/data/250828-F/E0_b_E1_b_E2_b/20250828_1425_3B_PBC94673_f68e8bc1/bam_pass/aa_merge_bam/barcode04_merged.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E1,2,,/data/250828-F/E0_b_E1_b_E2_b/20250828_1425_3B_PBC94673_f68e8bc1/bam_pass/aa_merge_bam/barcode05_merged.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E2,2,,/data/250828-F/E0_b_E1_b_E2_b/20250828_1425_3B_PBC94673_f68e8bc1/bam_pass/aa_merge_bam/barcode06_merged.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E0,3,,/data/250828-G/E0_c_E1_c_E2_c/20250828_1426_3C_PBC94924_2fb99b12/bam_pass/aa_merge_bam/barcode07_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E1,3,,/data/250828-G/E0_c_E1_c_E2_c/20250828_1426_3C_PBC94924_2fb99b12/bam_pass/aa_merge_bam/barcode08_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E2,3,,/data/250828-G/E0_c_E1_c_E2_c/20250828_1426_3C_PBC94924_2fb99b12/bam_pass/aa_merge_bam/barcode09_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E0,4,,/data/250828-H/E0_d_E1_d_E2_d/20250828_1427_3D_PBE00028_639ebe4b/bam_pass/aa_merge_bam/barcode10_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E1,4,,/data/250828-H/E0_d_E1_d_E2_d/20250828_1427_3D_PBE00028_639ebe4b/bam_pass/aa_merge_bam/barcode11_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
E2,4,,/data/250828-H/E0_d_E1_d_E2_d/20250828_1427_3D_PBE00028_639ebe4b/bam_pass/aa_merge_bam/barcode12_merge.aln.bam,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta_170612a.fasta,/data/sirv/SIRV_C_Set1/SIRV_isoforms_multi-fasta-annotation_C_170612a.gtf
